2025-11-18 15:33:23 | INFO | trades | OPEN | SELL | qty=3.00 entry=1.08022 sl=1.08070 tp=1.07895
2025-11-18 15:33:23 | INFO | trades | CLOSE | SELL | qty=3.00 exit=1.08070 pnl=-0.00 R=-1.00
2025-11-18 15:33:23 | INFO | trades | OPEN | SELL | qty=2.50 entry=1.08050 sl=1.08100 tp=1.07890
2025-11-18 15:33:23 | INFO | trades | CLOSE | SELL | qty=2.50 exit=1.08050 pnl=-0.00 R=0.00
2025-11-18 15:33:23 | INFO | trades | OPEN | BUY | qty=3.33 entry=1.08098 sl=1.08055 tp=1.08213
2025-11-18 15:33:23 | INFO | trades | CLOSE | BUY | qty=3.33 exit=1.08055 pnl=-0.00 R=-1.00
2025-11-18 15:46:27 | INFO | trades | OPEN | BUY | qty=0.80 entry=1.08032 sl=1.07985 tp=1.08160
2025-11-18 15:46:27 | INFO | trades | CLOSE | BUY | qty=0.80 exit=1.08032 pnl=0.00 R=0.00
2025-11-18 15:46:27 | INFO | trades | OPEN | BUY | qty=0.89 entry=1.08096 sl=1.08055 tp=1.08213
2025-11-18 15:46:27 | INFO | trades | CLOSE | BUY | qty=0.89 exit=1.08055 pnl=-0.00 R=-1.00
2025-11-18 15:46:27 | INFO | trades | OPEN | BUY | qty=0.80 entry=1.08118 sl=1.08070 tp=1.08245
2025-11-18 15:46:27 | INFO | trades | CLOSE | BUY | qty=0.80 exit=1.08070 pnl=-0.00 R=-1.00
2025-11-18 16:03:23 | INFO | trades | OPEN | BUY | qty=0.80 entry=1.08029 sl=1.07985 tp=1.08160
2025-11-18 16:03:23 | INFO | trades | CLOSE | BUY | qty=0.80 exit=1.08029 pnl=0.00 R=0.00
2025-11-18 16:03:23 | INFO | trades | OPEN | BUY | qty=0.89 entry=1.08097 sl=1.08055 tp=1.08213
2025-11-18 16:03:23 | INFO | trades | CLOSE | BUY | qty=0.89 exit=1.08055 pnl=-0.00 R=-1.00
2025-11-18 16:03:24 | INFO | trades | OPEN | BUY | qty=0.80 entry=1.08116 sl=1.08070 tp=1.08245
2025-11-18 16:03:24 | INFO | trades | CLOSE | BUY | qty=0.80 exit=1.08070 pnl=-0.00 R=-1.00
2025-11-18 16:22:57 | INFO | trades | OPEN | BUY | qty=0.80 entry=1.08032 sl=1.07985 tp=1.08160
2025-11-18 16:22:57 | INFO | trades | CLOSE | BUY | qty=0.80 exit=1.08032 pnl=0.00 R=0.00
2025-11-18 16:22:57 | INFO | trades | OPEN | BUY | qty=0.89 entry=1.08099 sl=1.08055 tp=1.08213
2025-11-18 16:22:57 | INFO | trades | CLOSE | BUY | qty=0.89 exit=1.08055 pnl=-0.00 R=-1.00
2025-11-18 16:22:58 | INFO | trades | OPEN | SELL | qty=0.80 entry=1.08070 sl=1.08110 tp=1.07935
2025-11-18 21:22:08 | INFO | trades | OPEN | SELL | qty=3900000.00 entry=1.08063 sl=1.08153 tp=1.07875
2025-11-18 21:22:42 | INFO | trades | OPEN | SELL | qty=18181818.18 entry=1.08094 sl=1.08137 tp=1.08055
2025-11-18 21:22:42 | INFO | trades | CLOSE | SELL | qty=18181818.18 exit=1.08137 pnl=-7887.14 R=-1.00
2025-11-18 21:48:06 | INFO | trades | OPEN | SELL | qty=15603.75 entry=4263.95487 sl=4268.06243 tp=4229.61014
2025-11-18 21:48:06 | INFO | trades | CLOSE | SELL | qty=15603.75 exit=4268.06243 pnl=-6409.33 R=-1.00
2025-11-18 21:48:06 | INFO | trades | OPEN | SELL | qty=25666.40 entry=4345.28483 sl=4351.53757 tp=4328.90986
2025-11-18 21:48:06 | INFO | trades | CLOSE | SELL | qty=25666.40 exit=4328.90986 pnl=42028.67 R=0.00
2025-11-18 21:48:06 | INFO | trades | OPEN | BUY | qty=13940.29 entry=4321.70017 sl=4316.64796 tp=4367.35407
2025-11-18 21:48:06 | INFO | trades | CLOSE | BUY | qty=13940.29 exit=4321.70017 pnl=0.00 R=0.00
2025-11-18 21:48:06 | INFO | trades | OPEN | BUY | qty=10291.80 entry=4324.09513 sl=4316.46111 tp=4385.14279
2025-11-18 21:48:06 | INFO | trades | CLOSE | BUY | qty=10291.80 exit=4324.09513 pnl=0.00 R=0.00
2025-11-18 21:48:06 | INFO | trades | OPEN | SELL | qty=4674.52 entry=4273.19987 sl=4309.29504 tp=4158.07993
2025-11-18 21:48:06 | INFO | trades | CLOSE | SELL | qty=4674.52 exit=4158.07993 pnl=53813.04 R=0.00
2025-11-18 21:48:06 | INFO | trades | OPEN | SELL | qty=17819.88 entry=4130.14483 sl=4144.29211 tp=4095.56579
2025-11-18 21:48:06 | INFO | trades | CLOSE | SELL | qty=17819.88 exit=4130.14483 pnl=-0.00 R=0.00
2025-11-18 21:48:06 | INFO | trades | OPEN | BUY | qty=10627.83 entry=4128.41015 sl=4106.06657 tp=4187.76686
2025-11-18 21:48:06 | INFO | trades | CLOSE | BUY | qty=10627.83 exit=4128.41015 pnl=0.00 R=0.00
2025-11-18 21:48:07 | INFO | trades | OPEN | BUY | qty=8732.38 entry=4082.37511 sl=4054.32529 tp=4153.75943
2025-11-18 21:48:07 | INFO | trades | CLOSE | BUY | qty=8732.38 exit=4054.32529 pnl=-24494.19 R=-1.00
2025-11-18 21:48:07 | INFO | trades | OPEN | SELL | qty=24076.38 entry=4090.63483 sl=4101.49407 tp=4068.48186
2025-11-18 21:48:07 | INFO | trades | CLOSE | SELL | qty=24076.38 exit=4101.49407 pnl=-26145.13 R=-1.00
2025-11-18 21:48:07 | INFO | trades | OPEN | SELL | qty=49558.29 entry=4119.90982 sl=4124.08843 tp=4109.63314
2025-11-18 21:48:07 | INFO | trades | CLOSE | SELL | qty=49558.29 exit=4109.63314 pnl=50929.46 R=0.00
2025-11-18 21:48:07 | INFO | trades | OPEN | BUY | qty=60877.04 entry=4107.36516 sl=4104.81086 tp=4119.08829
2025-11-18 21:48:07 | INFO | trades | CLOSE | BUY | qty=60877.04 exit=4104.81086 pnl=-15549.84 R=-1.00
2025-11-18 21:48:07 | INFO | trades | OPEN | BUY | qty=27049.30 entry=4065.52012 sl=4060.73896 tp=4091.14707
2025-11-18 21:48:07 | INFO | trades | CLOSE | BUY | qty=27049.30 exit=4060.73896 pnl=-12932.68 R=-1.00
2025-11-18 21:48:07 | INFO | trades | OPEN | SELL | qty=46359.37 entry=3991.91483 sl=3995.02011 tp=3978.11479
2025-11-18 21:48:07 | INFO | trades | CLOSE | SELL | qty=46359.37 exit=3978.11479 pnl=63976.11 R=0.00
2025-11-18 21:48:08 | INFO | trades | OPEN | BUY | qty=17414.55 entry=3969.34017 sl=3963.02004 tp=4019.04493
2025-11-18 21:48:08 | INFO | trades | CLOSE | BUY | qty=17414.55 exit=3969.34017 pnl=0.00 R=0.00
2025-11-18 21:48:08 | INFO | trades | OPEN | BUY | qty=13002.11 entry=3975.38014 sl=3962.74243 tp=4037.78014
2025-11-18 21:48:08 | INFO | trades | CLOSE | BUY | qty=13002.11 exit=3962.74243 pnl=-16431.69 R=-1.00
2025-11-18 21:48:08 | INFO | trades | OPEN | SELL | qty=30661.40 entry=3963.11988 sl=3972.82079 tp=3942.60843
2025-11-18 21:48:08 | INFO | trades | CLOSE | SELL | qty=30661.40 exit=3963.11988 pnl=-0.00 R=0.00
2025-11-18 21:48:08 | INFO | trades | OPEN | BUY | qty=54544.19 entry=3953.96517 sl=3950.22882 tp=3967.21236
2025-11-18 21:48:08 | INFO | trades | CLOSE | BUY | qty=54544.19 exit=3967.21236 pnl=72255.71 R=0.00
2025-11-18 21:48:08 | INFO | trades | OPEN | SELL | qty=30006.28 entry=3967.86483 sl=3970.17368 tp=3932.07764
2025-11-18 21:48:08 | INFO | trades | CLOSE | SELL | qty=30006.28 exit=3970.17368 pnl=-6928.01 R=-1.00
2025-11-18 21:48:08 | INFO | trades | OPEN | SELL | qty=54108.80 entry=3939.39989 sl=3942.99907 tp=3922.25686
2025-11-18 21:48:08 | INFO | trades | CLOSE | SELL | qty=54108.80 exit=3942.99907 pnl=-19474.75 R=-1.00
2025-11-18 21:48:08 | INFO | trades | OPEN | SELL | qty=39428.25 entry=3995.84989 sl=4004.45450 tp=3977.47100
2025-11-18 21:48:08 | INFO | trades | CLOSE | SELL | qty=39428.25 exit=4004.45450 pnl=-33926.49 R=-1.00
2025-11-18 21:48:09 | INFO | trades | OPEN | BUY | qty=127986.33 entry=4001.29510 sl=3997.54418 tp=4005.06164
2025-11-18 21:48:09 | INFO | trades | CLOSE | BUY | qty=127986.33 exit=4005.06164 pnl=48206.58 R=1.00
2025-11-18 21:48:09 | INFO | trades | OPEN | BUY | qty=62813.94 entry=4008.06014 sl=4001.22682 tp=4018.84636
2025-11-18 21:48:09 | INFO | trades | CLOSE | BUY | qty=62813.94 exit=4018.84636 pnl=67752.49 R=0.00
2025-11-18 21:48:09 | INFO | trades | OPEN | SELL | qty=45638.92 entry=4020.06485 sl=4022.99793 tp=3994.29414
2025-11-18 21:48:09 | INFO | trades | CLOSE | SELL | qty=45638.92 exit=4020.06485 pnl=-0.00 R=0.00
2025-11-18 21:48:09 | INFO | trades | OPEN | BUY | qty=28364.40 entry=4000.87518 sl=3992.35500 tp=4038.54000
2025-11-18 21:48:09 | INFO | trades | CLOSE | BUY | qty=28364.40 exit=4000.87518 pnl=0.00 R=0.00
2025-11-18 21:48:09 | INFO | trades | OPEN | BUY | qty=46679.85 entry=3984.56013 sl=3981.72043 tp=4009.78414
2025-11-18 21:48:09 | INFO | trades | CLOSE | BUY | qty=46679.85 exit=3981.72043 pnl=-13255.70 R=-1.00
2025-11-18 21:48:09 | INFO | trades | OPEN | SELL | qty=72968.76 entry=3969.89485 sl=3974.18268 tp=3956.77464
2025-11-18 21:48:09 | INFO | trades | CLOSE | SELL | qty=72968.76 exit=3974.18268 pnl=-31287.75 R=-1.00
2025-11-18 21:48:09 | INFO | trades | OPEN | SELL | qty=116513.59 entry=3989.14490 sl=3990.56050 tp=3980.46400
2025-11-18 21:48:09 | INFO | trades | CLOSE | SELL | qty=116513.59 exit=3989.14490 pnl=-0.00 R=0.00
2025-11-18 21:48:09 | INFO | trades | OPEN | SELL | qty=51258.84 entry=3988.78487 sl=3990.75493 tp=3967.80514
2025-11-18 21:48:09 | INFO | trades | CLOSE | SELL | qty=51258.84 exit=3988.78487 pnl=-0.00 R=0.00
2025-11-18 21:48:09 | INFO | trades | OPEN | SELL | qty=49090.98 entry=3988.66986 sl=3991.09275 tp=3967.12950
2025-11-18 21:48:09 | INFO | trades | CLOSE | SELL | qty=49090.98 exit=3988.66986 pnl=-0.00 R=0.00
2025-11-18 21:48:10 | INFO | trades | OPEN | BUY | qty=65750.09 entry=4009.27514 sl=4006.93611 tp=4024.82779
2025-11-18 21:48:10 | INFO | trades | CLOSE | BUY | qty=65750.09 exit=4006.93611 pnl=-15379.17 R=-1.00
2025-11-18 21:48:10 | INFO | trades | OPEN | SELL | qty=77198.37 entry=3997.94989 sl=3999.12025 tp=3984.47950
2025-11-18 21:48:10 | INFO | trades | CLOSE | SELL | qty=77198.37 exit=3997.94989 pnl=-0.00 R=0.00
2025-11-18 21:48:10 | INFO | trades | OPEN | SELL | qty=79956.68 entry=3996.52990 sl=3998.95189 tp=3984.81621
2025-11-18 21:48:10 | INFO | trades | CLOSE | SELL | qty=79956.68 exit=3996.52990 pnl=-0.00 R=0.00
2025-11-18 21:48:10 | INFO | trades | OPEN | BUY | qty=82152.26 entry=3996.37516 sl=3993.15404 tp=4006.91193
2025-11-18 21:48:10 | INFO | trades | CLOSE | BUY | qty=82152.26 exit=3993.15404 pnl=-26462.24 R=-1.00
2025-11-18 21:48:10 | INFO | trades | OPEN | SELL | qty=53802.21 entry=4053.00983 sl=4057.30561 tp=4037.77379
2025-11-18 21:48:10 | INFO | trades | CLOSE | SELL | qty=53802.21 exit=4057.30561 pnl=-23112.24 R=-1.00
2025-11-18 21:48:10 | INFO | trades | OPEN | BUY | qty=21363.50 entry=4141.92013 sl=4129.15043 tp=4175.09414
2025-11-18 21:48:10 | INFO | trades | CLOSE | BUY | qty=21363.50 exit=4129.15043 pnl=-27280.55 R=-1.00
2025-11-18 21:48:11 | INFO | trades | OPEN | SELL | qty=74414.30 entry=4108.48985 sl=4113.09004 tp=4100.99993
2025-11-18 21:48:11 | INFO | trades | CLOSE | SELL | qty=74414.30 exit=4100.99993 pnl=55735.74 R=1.63
2025-11-18 21:48:11 | INFO | trades | OPEN | BUY | qty=51343.11 entry=4104.90016 sl=4101.21350 tp=4121.99300
2025-11-18 21:48:11 | INFO | trades | CLOSE | BUY | qty=51343.11 exit=4104.90016 pnl=0.00 R=0.00
2025-11-18 21:48:11 | INFO | trades | OPEN | BUY | qty=33172.27 entry=4107.76014 sl=4098.30936 tp=4130.47129
2025-11-18 21:48:11 | INFO | trades | CLOSE | BUY | qty=33172.27 exit=4130.47129 pnl=75338.03 R=0.00
2025-11-18 21:48:11 | INFO | trades | OPEN | BUY | qty=30748.78 entry=4124.58511 sl=4111.70429 tp=4153.75143
2025-11-18 21:48:11 | INFO | trades | CLOSE | BUY | qty=30748.78 exit=4124.58511 pnl=0.00 R=0.00
2025-11-18 21:48:11 | INFO | trades | OPEN | BUY | qty=55020.04 entry=4125.33017 sl=4122.66711 tp=4146.16579
2025-11-18 21:48:11 | INFO | trades | CLOSE | BUY | qty=55020.04 exit=4125.33017 pnl=0.00 R=0.00
2025-11-18 21:48:11 | INFO | trades | OPEN | BUY | qty=37771.03 entry=4126.06012 sl=4122.18504 tp=4156.41493
2025-11-18 21:48:11 | INFO | trades | CLOSE | BUY | qty=37771.03 exit=4126.06012 pnl=0.00 R=0.00
2025-11-18 21:48:11 | INFO | trades | OPEN | SELL | qty=38908.27 entry=4209.38989 sl=4220.15646 tp=4186.92707
2025-11-18 21:48:11 | INFO | trades | CLOSE | SELL | qty=38908.27 exit=4220.15646 pnl=-41890.87 R=-1.00
2025-11-18 21:48:11 | INFO | trades | OPEN | SELL | qty=74184.76 entry=4200.78983 sl=4204.70468 tp=4188.97064
2025-11-18 21:48:11 | INFO | trades | CLOSE | SELL | qty=74184.76 exit=4188.97064 pnl=87680.32 R=0.00
2025-11-18 21:48:12 | INFO | trades | OPEN | BUY | qty=42383.52 entry=4186.78510 sl=4183.52139 tp=4217.26721
2025-11-18 21:48:12 | INFO | trades | CLOSE | BUY | qty=42383.52 exit=4186.78510 pnl=0.00 R=0.00
2025-11-18 21:48:12 | INFO | trades | OPEN | SELL | qty=60439.51 entry=4191.36982 sl=4197.36814 tp=4173.70371
2025-11-18 21:48:12 | INFO | trades | CLOSE | SELL | qty=60439.51 exit=4173.70371 pnl=106773.09 R=0.00
2025-11-18 21:48:12 | INFO | trades | OPEN | SELL | qty=46365.02 entry=4169.25488 sl=4181.20554 tp=4143.44893
2025-11-18 21:48:12 | INFO | trades | CLOSE | SELL | qty=46365.02 exit=4143.44893 pnl=119649.34 R=0.00
2025-11-18 21:48:12 | INFO | trades | OPEN | BUY | qty=34324.75 entry=4145.69010 sl=4141.87396 tp=4203.33207
2025-11-18 21:48:12 | INFO | trades | CLOSE | BUY | qty=34324.75 exit=4145.69010 pnl=0.00 R=0.00
2025-11-18 21:48:12 | INFO | trades | OPEN | BUY | qty=49120.78 entry=4143.93017 sl=4135.48971 tp=4178.43557
2025-11-18 21:48:12 | INFO | trades | CLOSE | BUY | qty=49120.78 exit=4135.48971 pnl=-41460.16 R=-1.00
2025-11-18 21:48:12 | INFO | trades | OPEN | BUY | qty=98635.04 entry=4077.20516 sl=4075.12125 tp=4095.24750
2025-11-18 21:48:12 | INFO | trades | CLOSE | BUY | qty=98635.04 exit=4075.12125 pnl=-20554.66 R=-1.00
2025-11-18 21:48:12 | INFO | trades | OPEN | SELL | qty=71221.41 entry=4011.04982 sl=4018.87239 tp=3991.86521
2025-11-18 21:48:12 | INFO | trades | CLOSE | SELL | qty=71221.41 exit=4018.87239 pnl=-55713.46 R=-1.00
2025-11-18 21:48:12 | INFO | trades | OPEN | SELL | qty=21250000.00 entry=1.16665 sl=1.16693 tp=1.16620
2025-11-18 21:48:12 | INFO | trades | CLOSE | SELL | qty=21250000.00 exit=1.16693 pnl=-5787.64 R=-1.00
