run_id,requested_days,actual_bars,start_time,end_time,trades,win_rate,profit_factor,return_pct,total_profit,max_drawdown
1,20,5760,2025-07-30 21:05:00,2025-08-20 09:00:00,98,58.16326530612245,1.1442838326969895,7.209097065287424,720.9097065287425,1053.6044116498088
2,28,8064,2025-08-09 08:50:00,2025-09-08 01:10:00,133,50.37593984962406,0.8299403056633464,-11.822211564934552,-1182.2211564934553,1556.4067956215422
3,30,8640,2025-08-19 03:35:00,2025-09-19 08:00:00,141,49.645390070921984,0.7830739649617364,-15.611581649450853,-1561.1581649450845,1561.439995605986
4,40,11520,2025-08-27 02:55:00,2025-10-07 03:20:00,184,48.369565217391305,0.7478776249318094,-25.063456783515576,-2506.345678351557,2890.061699387219
5,44,12672,2025-09-05 03:35:00,2025-10-19 03:45:00,201,46.766169154228855,0.7137341795678487,-29.045843183164326,-2904.584318316432,3314.9878338707367
6,53,15264,2025-09-11 10:30:00,2025-11-04 11:40:00,247,49.392712550607285,0.8091273894975629,-21.72267500724841,-2172.267500724841,2924.407344904441
7,60,17280,2025-09-17 09:45:00,2025-11-17 16:50:00,284,50.0,0.8436767732305287,-20.086772862489717,-2008.6772862489715,2694.5724307192504
8,69,19872,2025-09-21 21:30:00,2025-12-01 04:40:00,329,50.15197568389058,0.8821804354858906,-18.474249321157604,-1847.4249321157604,2424.8761840328025
9,75,21600,2025-09-26 16:55:00,2025-12-12 00:05:00,356,50.0,0.8687684430797132,-22.128316246232625,-2212.8316246232625,3040.515296708717
10,86,24768,2025-09-28 12:15:00,2025-12-25 19:25:00,410,49.26829268292683,0.8459258534201689,-29.132151927688664,-2913.215192768867,3360.8871374530318
11,90,25920,2025-10-02 20:15:00,2026-01-03 03:30:00,426,50.23474178403756,0.8702374177915413,-25.710980962795503,-2571.09809627955,2984.5327899211406
12,102,29376,2025-10-02 03:00:00,2026-01-14 10:15:00,478,50.0,0.8552947361061358,-31.600713601517487,-3160.071360151749,3517.7987232367077
13,110,31680,2025-10-02 16:00:00,2026-01-22 23:20:00,519,49.71098265895954,0.8581239799060025,-34.51451575276187,-3451.4515752761863,3830.3774808245635
14,127,36576,2025-09-26 05:05:00,2026-02-03 14:40:00,603,50.24875621890548,0.8635020492114708,-36.29757735400484,-3629.7577354004834,4749.149372655187
15,130,37440,2025-09-28 06:45:00,2026-02-08 16:20:00,619,49.919224555735056,0.8540265486553126,-38.357579888693415,-3835.7579888693417,4600.625885561123
16,143,41184,2025-09-22 03:20:00,2026-02-15 12:55:00,681,50.22026431718062,0.8628014452705769,-39.54465623111632,-3954.4656231116323,4615.391023363
17,150,43200,2025-09-19 16:25:00,2026-02-20 02:00:00,711,50.07032348804501,0.846606007532768,-44.35377967742971,-4435.377967742971,4596.382932174596
18,160,46080,2025-09-13 19:20:00,2026-02-24 04:55:00,757,49.9339498018494,0.8360821401048706,-48.823490510746694,-4882.34905107467,4882.349051074673
19,168,48384,2025-09-08 18:25:00,2026-02-27 04:05:00,795,49.937106918238996,0.8366705435807216,-50.90630465860744,-5090.630465860744,5339.671367177668
20,177,50976,2025-09-01 21:15:00,2026-03-01 15:05:00,840,49.88095238095238,0.8345483838481379,-53.34067248384067,-5334.067248384066,5699.328880599341
