run_id,requested_days,actual_bars,start_time,end_time,trades,win_rate,profit_factor,return_pct,total_profit,max_drawdown
1,20,5760,2025-05-09 15:00:00,2025-06-06 14:55:00,60,20.0,0.3064832305393092,-32.23469696307398,-3223.4696963073975,3384.623969337369
2,28,8064,2025-05-23 02:45:00,2025-07-02 02:40:00,82,28.04878048780488,0.4079991091484313,-34.81965436894869,-3481.9654368948695,3586.371201648498
3,30,8640,2025-06-05 09:30:00,2025-07-17 09:30:00,90,28.888888888888886,0.34800428877099676,-40.4102735551809,-4041.02735551809,4051.6814955761884
4,40,11520,2025-06-17 04:50:00,2025-08-12 05:00:00,117,29.059829059829063,0.36594974106858985,-44.66911774278906,-4466.911774278906,4466.91177427891
5,44,12672,2025-06-27 05:15:00,2025-08-28 05:25:00,129,28.68217054263566,0.4267884441771999,-43.185117091721345,-4318.511709172135,4318.511709172139
6,53,15264,2025-07-07 12:05:00,2025-09-18 12:25:00,155,29.677419354838708,0.504115014768676,-46.94872001666222,-4694.872001666222,5104.10411973178
7,60,17280,2025-07-15 11:15:00,2025-10-07 11:45:00,177,29.37853107344633,0.5067269767807963,-52.35589687177911,-5235.5896871779105,5485.7685535701285
8,69,19872,2025-07-21 23:05:00,2025-10-24 23:30:00,200,25.5,0.4678715518646377,-62.11885824313779,-6211.885824313778,6459.385287137543
9,75,21600,2025-07-28 18:30:00,2025-11-10 19:00:00,217,27.64976958525346,0.46685069730262896,-63.79866619142498,-6379.866619142498,7244.372927157454
10,86,24768,2025-07-30 13:50:00,2025-11-27 14:20:00,248,27.016129032258064,0.4151724579119672,-71.12708041672889,-7112.708041672889,7512.973239047013
11,90,25920,2025-08-05 21:50:00,2025-12-09 22:20:00,259,25.482625482625483,0.395829862611624,-74.6302348307471,-7463.0234830747095,7463.023483074707
12,102,29376,2025-08-05 04:35:00,2025-12-26 05:15:00,293,25.25597269624573,0.3988679862332727,-79.02311886760087,-7902.311886760087,7904.440233507614
13,110,31680,2025-08-05 17:35:00,2026-01-08 18:20:00,317,24.290220820189273,0.39411968836308975,-82.55607992617094,-8255.607992617093,8288.47118199028
14,127,36576,2025-07-28 06:40:00,2026-01-23 07:25:00,367,25.885558583106267,0.43560280857048356,-85.02874518802544,-8502.874518802544,9029.066533722484
15,130,37440,2025-07-30 08:20:00,2026-01-30 09:05:00,379,25.857519788918204,0.42033604737240104,-86.44940736380904,-8644.940736380904,9108.08976454327
16,143,41184,2025-07-22 04:55:00,2026-02-10 05:40:00,414,25.845410628019323,0.42868645795194527,-88.66541658627595,-8866.541658627595,8869.599655107815
17,150,43200,2025-07-17 17:55:00,2026-02-16 18:45:00,434,26.72811059907834,0.44606067042846564,-88.90601408881852,-8890.601408881852,9058.468040157237
18,160,46080,2025-07-09 20:50:00,2026-02-20 21:40:00,463,27.213822894168466,0.42246141123282505,-90.28718372191517,-9028.718372191517,9046.474303704976
19,168,48384,2025-07-02 19:55:00,2026-02-25 20:50:00,487,27.51540041067762,0.4242269726735602,-91.0636776220344,-9106.367762203441,9143.689962911925
20,177,50976,2025-06-23 22:55:00,2026-02-27 23:50:00,514,27.042801556420233,0.3847922894133704,-92.72490046873352,-9272.490046873352,9288.380866233527
