run_id,requested_days,actual_bars,start_time,end_time,trades,win_rate,profit_factor,return_pct,total_profit,max_drawdown
1,20,5760,2025-05-09 14:00:00,2025-06-06 14:15:00,60,55.00000000000001,0.9665289758019914,-1.0443907344867511,-104.43907344867563,860.3471004681669
2,28,8064,2025-05-23 01:55:00,2025-07-02 02:10:00,84,50.0,0.8101457427817629,-8.666411647393234,-866.6411647393229,1179.1694156842786
3,30,8640,2025-06-05 08:40:00,2025-07-17 08:55:00,91,50.54945054945055,0.8194057651415687,-8.74725906523634,-874.7259065236335,1101.8866829976214
4,40,11520,2025-06-17 04:10:00,2025-08-12 04:15:00,120,46.666666666666664,0.6871704449017816,-20.898571255482477,-2089.857125548248,2322.5492031016547
5,44,12672,2025-06-27 04:40:00,2025-08-28 04:45:00,132,43.93939393939394,0.6126932999740445,-28.672567199947324,-2867.2567199947325,2958.2708406622523
6,53,15264,2025-07-07 11:30:00,2025-09-18 11:45:00,161,44.099378881987576,0.5930692870282843,-34.34642993141773,-3434.642993141774,3554.949991306312
7,60,17280,2025-07-15 10:40:00,2025-10-07 10:55:00,182,42.857142857142854,0.5497134645981828,-40.769099700844436,-4076.9099700844436,4114.103327176127
8,69,19872,2025-07-21 22:25:00,2025-10-24 22:45:00,207,46.3768115942029,0.6766880210957792,-31.04241856386424,-3104.241856386424,4257.926488826003
9,75,21600,2025-07-28 17:50:00,2025-11-10 18:35:00,225,50.22222222222222,0.7985884592120952,-21.449785091641843,-2144.978509164184,3350.5714349138652
10,86,24768,2025-07-30 13:10:00,2025-11-27 14:20:00,258,53.100775193798455,0.8822139755386281,-13.897495739623627,-1389.749573962362,3237.9668678490607
11,90,25920,2025-08-05 21:10:00,2025-12-09 22:25:00,270,51.85185185185185,0.828514020758639,-21.558336434614912,-2155.833643461491,3189.3527788878164
12,102,29376,2025-08-05 03:55:00,2025-12-26 05:20:00,305,52.459016393442624,0.8388483041973976,-22.681439102566127,-2268.1439102566133,3211.1791631500855
13,110,31680,2025-08-05 16:55:00,2026-01-08 18:20:00,329,51.671732522796354,0.812152544067387,-28.50893359436141,-2850.8933594361406,3189.3527788878164
14,127,36576,2025-07-28 06:00:00,2026-01-23 07:25:00,379,52.5065963060686,0.8336557488328029,-28.52752650120956,-2852.7526501209554,3412.761457470461
15,130,37440,2025-07-30 07:40:00,2026-01-30 09:05:00,389,52.95629820051414,0.8471993852299248,-26.433252040276372,-2643.3252040276375,3236.6985687051765
16,143,41184,2025-07-22 04:15:00,2026-02-10 05:40:00,428,51.4018691588785,0.7881737381513836,-37.218723338487045,-3721.8723338487043,4137.962786813246
17,150,43200,2025-07-17 17:20:00,2026-02-16 18:45:00,449,51.224944320712694,0.7795362968508367,-39.6983348373178,-3969.8334837317802,4359.402845103688
18,160,46080,2025-07-09 20:15:00,2026-02-20 21:40:00,479,51.356993736951985,0.8015135068275363,-38.52283057829923,-3852.2830578299227,4439.115899349389
19,168,48384,2025-07-02 19:25:00,2026-02-25 20:50:00,503,51.29224652087475,0.8028624566899331,-40.278931119813535,-4027.893111981353,4445.227314865419
20,177,50976,2025-06-23 22:20:00,2026-02-27 23:50:00,530,51.509433962264154,0.8093413237403917,-40.68326267544382,-4068.3262675443816,4581.190549346458
