run_id,requested_days,actual_bars,start_time,end_time,trades,win_rate,profit_factor,return_pct,total_profit,max_drawdown
1,20,5760,2025-04-24 10:45:00,2025-05-23 07:40:00,59,44.06779661016949,0.8847842022310869,-3.840232332323485,-384.0232332323492,1418.4349602762522
2,28,8064,2025-05-08 08:30:00,2025-06-18 17:40:00,88,46.590909090909086,0.977006274326553,-1.151363077753831,-115.1363077753835,1131.8152632520978
3,30,8640,2025-05-22 01:15:00,2025-07-07 01:05:00,94,45.744680851063826,1.074129119191402,3.9773220833550478,397.73220833550477,1088.3621680796095
4,40,11520,2025-06-03 08:35:00,2025-07-31 14:25:00,123,49.59349593495935,1.168731626721738,12.62466763904351,1262.466763904351,967.5077502493423
5,44,12672,2025-06-13 17:15:00,2025-08-19 03:50:00,136,51.470588235294116,1.3147428053045231,25.58369730855156,2558.3697308551573,940.4505848622848
6,53,15264,2025-06-24 11:00:00,2025-09-10 06:35:00,161,49.06832298136646,1.11321588632071,10.56360537771554,1056.3605377715535,835.969480020105
7,60,17280,2025-07-02 16:10:00,2025-09-29 18:45:00,183,49.18032786885246,1.0889239113874596,10.105170658573188,1010.5170658573194,1395.8374863318386
8,69,19872,2025-07-09 16:35:00,2025-10-17 20:30:00,210,49.047619047619044,1.0514991064946662,6.352958247998995,635.2958247998998,1310.9783734518933
9,75,21600,2025-07-16 17:00:00,2025-11-04 03:55:00,227,48.458149779735685,1.0292347058644469,3.8300636977368048,383.0063697736799,1273.0758964996658
10,86,24768,2025-07-18 14:20:00,2025-11-21 12:15:00,260,47.69230769230769,1.0148773288280883,2.2976541374458974,229.76541374458935,1328.1318683233112
11,90,25920,2025-07-25 03:20:00,2025-12-04 23:45:00,276,47.82608695652174,1.015662628334058,2.6273525742131825,262.73525742131847,1893.3266975671686
12,102,29376,2025-07-24 09:05:00,2025-12-22 18:30:00,314,47.77070063694268,1.0240818808894945,4.454247297004531,445.4247297004526,1833.908291367521
13,110,31680,2025-07-24 22:05:00,2026-01-06 20:20:00,337,47.774480712166174,1.025817534754005,5.28993396367061,528.9933963670612,1893.3266975671686
14,127,36576,2025-07-16 05:10:00,2026-01-22 01:25:00,391,46.29156010230179,0.9701690960169167,-6.907707938509702,-690.7707938509704,2320.5950990915608
15,130,37440,2025-07-18 08:50:00,2026-01-29 08:05:00,399,45.86466165413533,0.9564815045742587,-10.337964623449498,-1033.7964623449498,2526.9206616978063
16,143,41184,2025-07-09 22:25:00,2026-02-09 11:40:00,438,46.80365296803653,0.9877703520284877,-3.171816719981125,-317.18167199811285,2564.9231487631896
17,150,43200,2025-07-07 09:30:00,2026-02-16 05:45:00,459,47.276688453159046,1.0094365541147758,2.599958321059239,259.99583210592345,2630.5871098537755
18,160,46080,2025-06-26 21:45:00,2026-02-20 16:40:00,491,46.63951120162933,0.9941309412257732,-1.7678884886457673,-176.7888488645765,2671.9386509725027
19,168,48384,2025-06-19 11:55:00,2026-02-25 18:50:00,515,46.79611650485437,1.0058767952396326,1.9159267591653772,191.59267591653702,2773.5295344535534
20,177,50976,2025-06-10 07:55:00,2026-02-27 23:50:00,546,47.61904761904761,1.0384776819484134,13.714420345278594,1371.4420345278595,2922.612262881379
