run_id,requested_days,actual_bars,start_time,end_time,trades,win_rate,profit_factor,return_pct,total_profit,max_drawdown
1,20,5760,2025-05-09 15:50:00,2025-06-06 15:45:00,60,28.333333333333332,0.40179160415285964,-24.733773992106396,-2473.37739921064,2526.548202512947
2,28,8064,2025-05-23 03:35:00,2025-07-02 03:30:00,84,36.904761904761905,0.595849742753589,-20.71142155403033,-2071.1421554030326,3019.1104241061375
3,30,8640,2025-06-05 10:20:00,2025-07-17 10:15:00,91,38.46153846153847,0.6252595155720176,-20.280865286592277,-2028.0865286592277,2028.0865286592216
4,40,11520,2025-06-17 05:40:00,2025-08-12 05:35:00,120,45.0,0.8621372344508733,-9.26630073589251,-926.6300735892517,1734.868441139337
5,44,12672,2025-06-27 06:05:00,2025-08-28 06:00:00,132,40.15151515151515,0.7366793447826203,-21.260807050280984,-2126.0807050280987,2692.844829555721
6,53,15264,2025-07-07 12:50:00,2025-09-18 12:45:00,159,40.25157232704403,0.7317168342142876,-25.273673218757057,-2527.367321875706,2936.1514274626616
7,60,17280,2025-07-15 12:00:00,2025-10-07 11:55:00,180,40.55555555555556,0.7284545518900487,-28.131811801808798,-2813.18118018088,2988.475469395101
8,69,19872,2025-07-21 23:45:00,2025-10-24 23:45:00,207,36.231884057971016,0.6259141901058211,-44.48159349707452,-4448.159349707452,4683.05247843098
9,75,21600,2025-07-28 19:10:00,2025-11-10 19:15:00,225,38.22222222222222,0.6483588516079455,-42.9341110892031,-4293.41110892031,5247.225450495556
10,86,24768,2025-07-30 14:30:00,2025-11-27 14:35:00,258,37.5968992248062,0.6196640455319227,-50.68665646736786,-5068.665646736787,5554.569892909492
11,90,25920,2025-08-05 22:30:00,2025-12-09 22:35:00,270,38.148148148148145,0.6315368634819412,-50.70599375161281,-5070.5993751612805,6219.669377767622
12,102,29376,2025-08-05 05:15:00,2025-12-26 05:20:00,306,36.60130718954248,0.6102854817042753,-58.65770731573357,-5865.770731573356,6823.473394827302
13,110,31680,2025-08-05 18:15:00,2026-01-08 18:20:00,330,36.96969696969697,0.6135689344088808,-60.84531283288468,-6084.531283288468,7031.77170281374
14,127,36576,2025-07-28 07:20:00,2026-01-23 07:25:00,381,38.84514435695538,0.651109750365895,-59.358191353677135,-5935.819135367714,6726.491627534168
15,130,37440,2025-07-30 09:00:00,2026-01-30 09:05:00,391,39.38618925831202,0.706126960121409,-51.29649574992396,-5129.649574992397,6911.440071655379
16,143,41184,2025-07-22 05:35:00,2026-02-10 05:40:00,429,40.0932400932401,0.7315918011514759,-51.041840362275146,-5104.184036227514,6879.578931946949
17,150,43200,2025-07-17 18:40:00,2026-02-16 18:45:00,450,39.111111111111114,0.7000985226967441,-57.7985157848385,-5779.85157848385,6560.7595512378775
18,160,46080,2025-07-09 21:35:00,2026-02-20 21:40:00,480,38.958333333333336,0.6976991047122563,-61.40163014755905,-6140.163014755905,6457.56921667638
19,168,48384,2025-07-02 20:45:00,2026-02-25 20:50:00,504,38.88888888888889,0.6956075814142807,-63.716583524439486,-6371.658352443948,6566.674494266475
20,177,50976,2025-06-23 23:45:00,2026-02-27 23:50:00,531,39.1713747645951,0.7118903859302803,-64.89777253164189,-6489.7772531641895,6990.070260804505
