run_id,requested_days,actual_bars,start_time,end_time,trades,win_rate,profit_factor,return_pct,total_profit,max_drawdown
1,20,5760,2025-04-25 09:00:00,2025-05-26 05:55:00,62,41.935483870967744,0.8516638065214115,-5.5658116874899495,-556.5811687489944,1134.0707155962446
2,28,8064,2025-05-09 06:45:00,2025-06-19 14:25:00,88,43.18181818181818,0.8737139935517402,-6.291268073324972,-629.1268073324976,1935.7199381985538
3,30,8640,2025-05-22 22:30:00,2025-07-07 17:05:00,96,40.625,0.761383095596046,-13.519673313082276,-1351.9673313082283,1555.7789865305604
4,40,11520,2025-06-04 05:35:00,2025-08-01 07:25:00,126,37.301587301587304,0.6484545599344473,-27.0739572478058,-2707.39572478058,3232.8458388639165
5,44,12672,2025-06-16 14:00:00,2025-08-19 19:50:00,138,41.30434782608695,0.7198824124164883,-21.048752752233476,-2104.8752752233477,3194.3063263430395
6,53,15264,2025-06-25 07:30:00,2025-09-10 21:20:00,168,41.66666666666667,0.7090223267907112,-25.190963380737415,-2519.0963380737408,2962.572413305761
7,60,17280,2025-07-03 12:40:00,2025-09-30 10:30:00,187,43.85026737967914,0.7922043268063096,-19.954353094332518,-1995.435309433252,2314.6428315820995
8,69,19872,2025-07-10 09:35:00,2025-10-20 12:15:00,218,46.330275229357795,0.9039774210082724,-10.848528255543716,-1084.8528255543722,1763.8627594276695
9,75,21600,2025-07-17 10:00:00,2025-11-04 18:40:00,237,50.210970464135016,1.0825501935902684,10.314845843130716,1031.4845843130713,1161.5953201555058
10,86,24768,2025-07-21 07:20:00,2025-11-24 04:00:00,270,51.11111111111111,1.1256425442000897,18.16977003545704,1816.977003545704,1184.921559249482
11,90,25920,2025-07-25 19:20:00,2025-12-05 04:15:00,282,51.77304964539007,1.181556426600945,27.277832378209403,2727.7832378209405,1175.1175681575496
12,102,29376,2025-07-25 02:05:00,2025-12-22 22:00:00,321,48.90965732087228,1.038988543359768,7.124678529847479,712.4678529847474,2268.8217364490483
13,110,31680,2025-07-25 15:05:00,2026-01-06 23:20:00,345,49.56521739130435,1.0674788029356168,13.251761276329727,1325.1761276329726,2630.1488290580182
14,127,36576,2025-07-16 21:10:00,2026-01-22 02:55:00,399,48.370927318295735,1.0051522637999826,1.1344738929378035,113.44738929378082,2488.6937298979465
15,130,37440,2025-07-21 01:50:00,2026-01-29 09:35:00,411,48.661800486618006,1.0263668417267597,6.3495500701832315,634.955007018323,2656.783513917864
16,143,41184,2025-07-10 15:25:00,2026-02-09 13:10:00,450,47.333333333333336,0.9720151174148575,-6.630695882423006,-663.0695882423006,2360.2356488361966
17,150,43200,2025-07-08 02:30:00,2026-02-16 07:15:00,471,47.5583864118896,0.9850677296824915,-3.5810458068988007,-358.10458068987987,2287.00771101634
18,160,46080,2025-06-27 18:15:00,2026-02-20 16:40:00,504,47.42063492063492,0.9799206454058706,-4.895422517411007,-489.54225174110115,2493.572056919693
19,168,48384,2025-06-20 12:25:00,2026-02-25 18:50:00,529,47.06994328922495,0.9701842515695548,-7.429888640547633,-742.9888640547638,3120.1082550889532
20,177,50976,2025-06-11 04:40:00,2026-02-27 23:50:00,558,47.491039426523294,0.9838474334430549,-4.369230462110718,-436.92304621107246,3324.2105636986817
